id_Cliente;CNPJ;Nome_Empresa;Segmento;UF;Cidade;Data_Cadastro;Status_Ativo;;
985;196-08-1305;Skajo;Serviços;PA;Qaryat ad Da‘īs;23/12/2010;Inativo;;
818;113-41-1005;Yozio;Industria;RJ;La Bélgica;10/01/2009;Inativo;;
664;541-47-8583;Rhynyx;Serviços;AM;Vila Franca do Campo;11/12/2020;Inativo;;
917;714-04-3501;Kwilith;Serviços;PA;Linjiang;07/04/2011;Ativo;;
184;426-34-1442;Feedfish;Varejo;GO;Sapphaya;15/10/2008;Inativo;;
346;564-68-3870;Oozz;Varejo;PA;Muktāgācha;22/11/2021;Inativo;;
437;369-11-4046;Voolith;Industria;RJ;São Francisco do Sul;10/11/2020;Inativo;;
732;611-31-3234;Flashdog;Varejo;GO;Miandrivazo;19/06/2017;Inativo;;
584;665-12-7389;Dynabox;Varejo;GO;Bera;08/11/2013;Inativo;;
578;791-61-3920;Topiczoom;Industria;MA;Monastirákion;11/06/2014;Inativo;;
248;155-55-3375;Eadel;Serviços;SP;Dongxiang;18/02/2012;Ativo;;
171;611-11-4538;Yakijo;Industria;AM;Guamal;25/08/2015;Inativo;;
460;256-06-4352;Skajo;Serviços;PR;Yijiang;21/02/2016;Inativo;;
350;317-45-7805;Wordware;Varejo;MA;Businovo;22/07/2020;Ativo;;
776;888-04-5637;Aimbu;Industria;SC;Paris 19;05/10/2018;Inativo;;
448;745-82-0378;Tazz;Industria;SC;Lyski;01/12/2007;Inativo;;
728;689-27-8186;Brainverse;Serviços;SC;Margaharja;25/06/2025;Inativo;;
659;884-10-7382;Twimm;Varejo;MT;Macau;08/04/2016;Ativo;;
487;647-38-4178;Oba;Varejo;SE;Shuangqiao;20/03/2020;Ativo;;
938;614-39-2911;Dabshots;Serviços;PR;Lomba do Loução;04/09/2015;Ativo;;
422;709-68-9352;Mycat;Varejo;SE;Guantian;06/01/2014;Ativo;;
345;575-51-7276;Skinte;Varejo;AM;Zhongfan;26/04/2018;Inativo;;
469;355-16-3886;Yakitri;Varejo;GO;Marinhais;20/10/2009;Ativo;;
308;100-26-4141;Wordware;Serviços;AM;Eloúnda;15/02/2018;Ativo;;
238;825-18-5983;Plajo;Serviços;MT;Baun;09/09/2016;Ativo;;
354;263-65-2049;Zoonder;Serviços;AM;Bella Vista;30/12/2021;Inativo;;
513;696-33-3014;Blogpad;Industria;TO;Mashan;20/12/2019;Inativo;;
564;579-97-5796;Katz;Serviços;MG;Arys;25/08/2010;Ativo;;
347;725-84-0946;Photospace;Varejo;RR;Bagenalstown;13/05/2024;Ativo;;
6;238-83-4951;Rhynoodle;Varejo;RR;Maharagama;02/07/2019;Ativo;;
493;791-15-5831;Jamia;Industria;MA;Rydzyna;19/08/2009;Inativo;;
476;391-02-0037;Jaloo;Serviços;GO;Leyuan;06/12/2010;Ativo;;
153;509-46-0639;Livefish;Industria;TO;Montongtebolak;06/08/2010;Ativo;;
359;485-56-9484;Wordify;Varejo;GO;Gojō;14/12/2022;Ativo;;
142;554-67-3000;Camimbo;Industria;PA;Puget-sur-Argens;01/04/2013;Ativo;;
516;271-67-8896;Ooba;Serviços;SE;Jiangkou;26/03/2016;Inativo;;
552;120-22-2783;Zava;Varejo;MT;Modimolle;05/04/2020;Ativo;;
932;455-62-9406;Topiczoom;Industria;RS;Sobreira;04/04/2024;Inativo;;
618;864-14-2954;Dabjam;Industria;MG;Lyon;16/08/2020;Inativo;;
747;529-42-1800;Roodel;Industria;SP;Lebu;31/10/2016;Inativo;;
344;194-39-5482;Ntag;Industria;GO;Lian’an;14/10/2010;Inativo;;
638;594-38-5562;Yoveo;Serviços;AM;Yonezawa;08/11/2021;Ativo;;
221;839-43-5459;Kwimbee;Serviços;GO;Konza;22/05/2010;Inativo;;
314;225-92-8440;Bluezoom;Varejo;TO;Pembroke;13/07/2025;Ativo;;
454;289-58-7550;Fivespan;Serviços;RJ;Bautista;24/02/2018;Inativo;;
494;759-48-7515;Voomm;Industria;SC;Gataivai;30/08/2009;Inativo;;
16;462-80-2859;Einti;Serviços;SP;Červenka;05/11/2009;Inativo;;
96;188-01-6009;Gigashots;Serviços;RR;Kampungsusah;11/04/2017;Inativo;;
632;437-10-4896;Tazz;Varejo;PR;Lubaczów;07/10/2020;Ativo;;
600;563-14-4282;Eayo;Industria;RS;Castêlo;12/05/2011;Ativo;;
331;213-80-8899;Skivee;Serviços;MS;Biscoitos;27/09/2012;Ativo;;
152;487-22-2116;Edgewire;Industria;MT;Bagu;20/04/2013;Inativo;;
691;180-35-2139;Quinu;Varejo;MS;Villa Ángela;05/10/2015;Ativo;;
524;745-01-4535;Bluejam;Serviços;RS;Kertanegla;29/07/2021;Ativo;;
550;447-33-7425;JumpXS;Varejo;MT;Nantes;10/03/2007;Inativo;;
993;838-89-5641;Edgetag;Industria;SE;Kampungdesa;27/01/2012;Ativo;;
396;559-50-4229;Topiczoom;Industria;SC;Jrashen;24/01/2023;Ativo;;
457;772-64-3264;Centizu;Serviços;MS;Kostomuksha;20/05/2021;Ativo;;
29;341-26-2483;Muxo;Serviços;MG;Itacurubí del Rosario;30/03/2024;Ativo;;
429;250-53-7769;Feedfire;Varejo;RJ;Nanwai;17/06/2016;Ativo;;
18;641-45-6905;Aivee;Industria;MS;Karlskrona;07/03/2018;Inativo;;
433;705-75-9350;Twitterlist;Serviços;PA;Huquan;26/09/2011;Ativo;;
580;738-76-6896;Eazzy;Serviços;MG;Andkhōy;31/05/2012;Ativo;;
55;377-26-8095;Leexo;Varejo;RN;Kuching;18/08/2018;Ativo;;
51;808-48-7191;Aimbu;Varejo;AM;Petukhovo;30/11/2010;Ativo;;
817;171-53-4041;Yotz;Industria;RR;Opočno;22/02/2025;Ativo;;
483;397-58-5104;Quimba;Serviços;SC;Oni;12/03/2024;Ativo;;
824;310-97-7447;Reallinks;Serviços;TO;Suren;14/03/2025;Ativo;;
812;693-82-2756;Browsebug;Varejo;RS;Koror;29/04/2024;Inativo;;
921;101-65-4087;Kwilith;Serviços;RJ;Brignoles;18/07/2025;Ativo;;
6;235-02-5224;Oloo;Varejo;TO;Pasar Kulon;27/02/2019;Ativo;;
575;315-50-6898;Rhyzio;Industria;GO;Zhuge;18/02/2025;Ativo;;
738;119-90-2631;Avamm;Serviços;RS;Luzern;05/01/2009;Inativo;;
612;714-15-7155;Katz;Industria;TO;Fucheng;30/08/2008;Inativo;;
885;549-48-6734;Chatterbridge;Serviços;MT;Maralal;11/08/2020;Ativo;;
961;349-64-7649;Photojam;Varejo;MS;Liujiage;20/10/2008;Ativo;;
953;648-55-2314;Twitterwire;Industria;RJ;Lazarevac;20/03/2018;Inativo;;
396;405-68-4536;Twiyo;Varejo;MG;Baranowo;13/04/2011;Inativo;;
201;665-02-6978;Trilith;Industria;SP;Tucheng;28/05/2023;Ativo;;
703;824-91-8620;Twitterlist;Serviços;RR;Křížová;16/01/2024;Inativo;;
71;139-94-3114;Skivee;Industria;RN;Thị Trấn Mỹ Lộc;26/10/2007;Inativo;;
893;736-03-3768;Oodoo;Serviços;PA;Savannakhét;14/10/2007;Ativo;;
641;234-49-0602;Blogpad;Serviços;SP;Yangzi;01/04/2014;Inativo;;
220;508-68-8493;Zoonoodle;Serviços;GO;Huangben;08/09/2021;Inativo;;
240;228-83-0174;Quatz;Serviços;AM;Dongchuan;26/07/2019;Inativo;;
425;600-36-0703;Meejo;Serviços;RS;Dmitriyevskoye;20/08/2021;Ativo;;
398;802-96-5977;Kaymbo;Varejo;PA;Barrancabermeja;23/10/2017;Inativo;;
175;422-36-5217;Jaxspan;Varejo;MS;Cauayan;05/12/2017;Ativo;;
876;524-64-4774;Yodel;Industria;TO;La Libertad;19/04/2024;Ativo;;
590;342-35-3135;Layo;Varejo;MA;Kiev;12/06/2025;Ativo;;
414;407-25-1775;Buzzbean;Industria;RS;Menzel Jemil;06/06/2018;Inativo;;
919;265-28-7603;Devbug;Industria;MT;Pantai Ceuremen;28/04/2008;Ativo;;
321;335-81-8143;Zava;Serviços;RS;Bayshint;24/05/2007;Ativo;;
561;678-97-8809;Yoveo;Varejo;TO;Zhengdonglu;12/02/2014;Inativo;;
240;320-19-2787;Meejo;Serviços;MG;Marne-la-Vallée;24/07/2010;Inativo;;
393;129-01-7895;Fadeo;Serviços;RR;Honoria;12/02/2019;Ativo;;
74;323-76-1966;Ntags;Industria;RJ;Čair;29/12/2017;Inativo;;
719;346-86-8796;Skajo;Varejo;SC;Huohua;13/10/2018;Inativo;;
444;254-11-1033;Podcat;Industria;MA;Punta de Bombón;06/10/2015;Ativo;;
445;885-38-8124;Skilith;Serviços;MG;Kiambu;21/11/2023;Inativo;;
172;281-03-5503;Buzzdog;Serviços;TO;Itako;02/08/2016;Inativo;;
285;895-75-9003;Realmix;Serviços;MT;Zeqin;28/09/2008;Ativo;;
815;361-77-9837;Topdrive;Varejo;MA;Weton;28/10/2014;Inativo;;
175;212-11-0836;Yabox;Serviços;SE;Pakokku;08/05/2014;Inativo;;
103;155-47-4173;Avavee;Serviços;RJ;Guang’an;25/08/2021;Inativo;;
500;230-02-0982;Trilith;Varejo;PA;Arcos;25/06/2025;Inativo;;
125;314-10-2035;Cogidoo;Varejo;MS;Vélo;07/04/2023;Inativo;;
244;805-15-2242;Fiveclub;Industria;AM;Yihe;22/03/2010;Inativo;;
324;806-39-4448;Abata;Industria;AM;Abaeté;28/06/2008;Ativo;;
280;506-56-6644;Edgepulse;Varejo;PA;Qibu;16/06/2021;Inativo;;
500;888-37-0477;Meevee;Varejo;AM;Želešice;01/02/2021;Ativo;;
871;467-83-7199;Izio;Serviços;TO;Velyki Mezhyrichi;23/04/2025;Ativo;;
467;836-66-1610;Ntag;Industria;RS;Kamyshevatskaya;13/04/2016;Inativo;;
236;286-72-5273;Mynte;Industria;SE;Aqtöbe;20/06/2022;Inativo;;
166;548-40-0017;Chatterpoint;Serviços;MA;Szklarska Poręba;02/06/2024;Inativo;;
659;258-18-9436;Fliptune;Serviços;SE;Na Wa;21/08/2023;Ativo;;
378;720-84-7053;Brainlounge;Industria;GO;Fontaínhas;03/11/2017;Ativo;;
601;830-64-8281;Skajo;Industria;MA;Verkhniye Achaluki;23/09/2017;Inativo;;
738;774-66-2495;Voonix;Industria;AM;Yashio-shi;07/11/2014;Ativo;;
463;590-96-5516;Fivebridge;Varejo;SE;Göteborg;11/04/2007;Ativo;;
208;446-94-4985;Topicblab;Serviços;MG;Klatakan;11/10/2010;Ativo;;
542;236-07-4122;Feedspan;Varejo;TO;Gião;19/04/2022;Ativo;;
756;131-31-7607;Mycat;Industria;RJ;Koloniya Zastav’ye;19/09/2023;Inativo;;
939;813-89-4038;Quatz;Serviços;RJ;Miaoyu;12/09/2019;Inativo;;
970;196-32-1613;Zoovu;Industria;AM;Kamirenjaku;17/08/2022;Inativo;;
533;258-51-0126;Pixoboo;Varejo;MT;Majāz al Bāb;23/06/2017;Inativo;;
285;771-05-7806;Fanoodle;Serviços;MS;Jabal os Saraj;22/08/2015;Ativo;;
62;773-34-5632;Meedoo;Industria;SC;Lins;29/08/2020;Inativo;;
496;746-83-2849;Yakijo;Industria;RN;Quốc Oai;10/07/2019;Inativo;;
583;766-39-8148;Blogspan;Varejo;RR;Muting;05/08/2019;Inativo;;
742;348-15-5587;Voonix;Industria;SP;Al Fashn;14/11/2023;Ativo;;
441;889-48-6660;Realcube;Varejo;PA;Church End;17/02/2008;Ativo;;
844;390-12-6142;Wordify;Serviços;MG;Ceadîr-Lunga;24/01/2012;Inativo;;
425;425-69-3953;Twitternation;Industria;RR;Aragua de Barcelona;07/06/2022;Inativo;;
561;392-83-3280;Browsedrive;Serviços;SE;Concepción de La Vega;05/01/2024;Ativo;;
811;262-87-3757;Edgetag;Industria;SP;Нераште;09/02/2021;Inativo;;
433;231-90-4765;Brainverse;Industria;PR;Couva;26/06/2025;Inativo;;
85;825-90-8852;Divanoodle;Varejo;RR;Saparua;13/07/2010;Inativo;;
188;633-75-7628;Flashdog;Industria;MG;Qili;10/09/2017;Ativo;;
64;287-94-1839;Flashdog;Serviços;MT;Gusau;14/05/2008;Ativo;;
794;111-02-1033;Kamba;Serviços;RR;São Gotardo;10/06/2009;Ativo;;
508;705-83-5697;Zava;Industria;RR;Blagoveshchenka;08/01/2015;Ativo;;
135;145-41-0032;Edgetag;Industria;RR;Vyshhorod;03/04/2013;Ativo;;
435;837-51-2313;InnoZ;Serviços;GO;Mengeš;30/06/2012;Inativo;;
382;505-89-9040;Riffpath;Varejo;SC;Irving;04/07/2023;Ativo;;
815;593-84-1024;Wordtune;Varejo;TO;Jimaguayú;08/12/2016;Ativo;;
425;141-65-3471;Youbridge;Varejo;RJ;Darunban;14/08/2014;Inativo;;
838;731-45-8346;Centidel;Varejo;MG;Kítsi;30/10/2015;Inativo;;
948;500-84-5616;Cogibox;Industria;RS;Maralik;27/12/2017;Ativo;;
495;303-14-1605;Mita;Serviços;MS;Brody;11/02/2014;Ativo;;
347;691-20-6501;Tagfeed;Industria;MA;Malamig;18/03/2017;Ativo;;
654;176-71-5733;Vimbo;Serviços;MS;Kantharalak;27/06/2015;Inativo;;
102;769-18-1162;Vipe;Varejo;GO;Tsivil’sk;30/05/2014;Inativo;;
769;781-25-3170;Blogspan;Varejo;RJ;Aotou;24/05/2009;Ativo;;
538;859-46-7962;Zoonoodle;Varejo;TO;Mâcon;28/06/2015;Ativo;;
863;290-92-5537;Trudoo;Industria;SC;Casal;10/09/2013;Inativo;;
188;124-57-4562;Edgeblab;Varejo;RS;Xixi;24/10/2013;Inativo;;
481;398-79-4321;Kwimbee;Varejo;GO;Obala;29/06/2015;Ativo;;
645;355-22-5952;Feedfish;Varejo;MT;Caseros;01/04/2021;Inativo;;
17;803-11-4587;Chatterbridge;Serviços;PR;Ujar;30/11/2018;Inativo;;
948;300-21-8158;Jazzy;Industria;MA;Kowo;15/01/2025;Inativo;;
496;767-74-5793;Wordtune;Varejo;SE;Boguchwała;20/02/2015;Ativo;;
654;271-01-2100;Vidoo;Varejo;PA;Provo;07/07/2025;Ativo;;
947;497-28-8151;Oba;Varejo;MS;Spiczyn;06/01/2024;Inativo;;
421;694-88-7026;Babbleopia;Industria;MA;Vyborg;20/04/2015;Ativo;;
13;593-47-0696;Mydo;Varejo;PA;Mitsuke;26/10/2014;Ativo;;
825;420-35-0062;Babbleopia;Varejo;RR;Kosikha;06/09/2009;Ativo;;
624;165-39-5829;Skinder;Serviços;SC;Addiet Canna;02/11/2024;Inativo;;
930;265-49-1492;Pixonyx;Varejo;SE;Mosal’sk;11/07/2023;Ativo;;
269;477-58-4915;Brightdog;Industria;SC;Jibiya;29/03/2007;Inativo;;
700;752-90-9031;Camimbo;Industria;RR;Aydūn;08/05/2016;Ativo;;
216;262-14-6776;Fivespan;Serviços;PA;Niebylec;30/07/2008;Inativo;;
456;623-70-7558;Bubbletube;Serviços;MS;Kassiri;08/11/2014;Inativo;;
963;237-59-0981;Oyope;Serviços;RS;Chezhan;08/11/2010;Inativo;;
94;545-69-2857;Kamba;Serviços;PA;Donghu;07/05/2014;Ativo;;
474;620-49-8695;Realpoint;Serviços;MS;Cordeiro;14/09/2013;Ativo;;
349;306-79-3103;Gigabox;Serviços;MS;Bahāwalnagar;12/07/2012;Inativo;;
480;485-86-5481;Janyx;Industria;SC;Ribeiro;05/05/2020;Inativo;;
420;747-47-7373;Meejo;Industria;RJ;Panbang;10/02/2015;Ativo;;
963;823-87-0459;Buzzdog;Serviços;MT;Paisha;26/10/2009;Inativo;;
333;851-64-0820;Divavu;Serviços;PA;Sendangagung;26/12/2012;Inativo;;
237;714-47-1291;Youtags;Serviços;MA;Huangcun;22/03/2022;Ativo;;
649;639-28-5811;Podcat;Industria;MA;Tuanlin;11/12/2013;Inativo;;
434;284-14-3240;Feedspan;Serviços;PR;Vylkove;04/01/2020;Ativo;;
421;472-02-7999;Twitternation;Serviços;TO;Kuala Lumpur;02/01/2013;Inativo;;
889;890-54-4992;Skyvu;Industria;RN;Lianhua;18/02/2021;Inativo;;
407;157-77-8072;Ozu;Industria;TO;Matahuasi;24/10/2023;Ativo;;
668;319-75-3973;Oyope;Varejo;RJ;Valerianovsk;26/11/2022;Ativo;;
106;804-17-2799;Flipbug;Industria;MG;Pasargunung;24/06/2024;Inativo;;
665;401-53-2091;Kayveo;Serviços;RS;Malabago;04/04/2023;Ativo;;
154;539-74-5265;Kanoodle;Varejo;RJ;Tumba;24/12/2009;Ativo;;
651;518-69-0878;Tanoodle;Varejo;RJ;Bailu;02/09/2016;Ativo;;
212;456-39-0334;Wordtune;Industria;MG;Apucarana;04/03/2020;Inativo;;
144;869-20-3215;Babbleblab;Varejo;RR;Chendian;28/08/2013;Inativo;;
875;569-85-0303;Tagtune;Industria;MG;Buritama;06/05/2021;Ativo;;
135;201-09-8543;Flashdog;Industria;MT;Chixi;20/04/2020;Ativo;;
462;203-52-7003;Yakijo;Industria;GO;Balazar;25/12/2014;Inativo;;
738;387-66-7689;Eabox;Varejo;MT;Newport Beach;20/09/2015;Inativo;;
1000;574-45-8984;Youfeed;Serviços;RN;5 de Mayo;25/05/2019;Ativo;;
159;855-40-4303;Camimbo;Serviços;SE;Ivry-sur-Seine;03/01/2007;Inativo;;
153;822-93-6854;Trilia;Varejo;MT;Liangshui;26/02/2017;Ativo;;
925;227-86-6426;Devpulse;Industria;RS;Isulan;05/11/2020;Inativo;;
9;727-15-0989;Babblestorm;Varejo;TO;Bambakashat;08/07/2023;Inativo;;
705;673-10-1098;Topicblab;Serviços;TO;Nanlin;24/09/2016;Ativo;;
223;711-41-9333;Avamm;Industria;MG;Rzeczenica;07/09/2014;Ativo;;
64;454-93-8410;Roodel;Varejo;MA;Cakran;23/02/2024;Inativo;;
799;127-87-4712;Eabox;Serviços;SE;Banff;31/05/2012;Inativo;;
28;814-14-1546;Livetube;Serviços;RJ;Bilohirs’k;26/12/2022;Inativo;;
931;549-59-8255;Jabberbean;Industria;PR;Itsandzéni;16/08/2016;Ativo;;
383;585-75-8426;Skynoodle;Serviços;PA;Uppsala;23/09/2022;Inativo;;
803;298-93-5851;Meeveo;Varejo;PR;Pizhma;24/09/2019;Inativo;;
680;430-06-1994;Mycat;Varejo;GO;Shiyun;02/11/2015;Inativo;;
579;459-75-3399;Voonyx;Industria;RN;Cipanas;18/01/2011;Inativo;;
60;357-96-9423;Quimba;Varejo;TO;Bronnitsy;01/11/2011;Inativo;;
183;138-30-9244;Yadel;Varejo;RJ;Cimanggu;14/03/2013;Ativo;;
315;599-88-9822;Tagfeed;Varejo;RR;Ristinummi;28/03/2024;Ativo;;
744;748-81-4510;Oyoloo;Industria;RS;Ransang;24/09/2018;Inativo;;
277;740-44-7853;Aibox;Serviços;SP;Minas de Oro;20/02/2019;Ativo;;
498;263-66-6796;Viva;Serviços;PR;Mariestad;06/02/2009;Ativo;;
359;131-51-0327;Wikibox;Serviços;SC;Lansing;09/01/2010;Ativo;;
287;208-26-9219;Zoombox;Varejo;RJ;Saint Petersburg;19/06/2015;Inativo;;
129;167-50-4351;Bubblebox;Varejo;SP;Villaba;15/08/2021;Ativo;;
538;718-69-8300;DabZ;Serviços;GO;Malaba;29/12/2019;Inativo;;
964;481-28-5367;Edgeclub;Varejo;RR;Al Baqāliţah;16/12/2019;Inativo;;
660;685-52-9891;Ailane;Industria;RJ;Bailianhe;30/11/2021;Inativo;;
481;456-74-4476;Oyope;Serviços;RS;Makoko;11/09/2016;Ativo;;
47;126-13-8698;Zoomdog;Serviços;AM;Quintela;08/10/2021;Ativo;;
347;236-85-5190;Yakijo;Serviços;RS;Liuqu;12/09/2022;Ativo;;
876;813-13-9563;Linkbuzz;Serviços;PR;Denton;08/07/2019;Inativo;;
368;515-07-6829;Eimbee;Industria;RN;Albuquerque;02/03/2012;Ativo;;
263;578-08-7933;Feedfish;Industria;TO;Kota Kinabalu;27/03/2014;Inativo;;
794;675-09-8921;Skyble;Industria;GO;Vinhais;23/10/2011;Ativo;;
419;185-84-2098;Zooxo;Varejo;AM;Wangwu;29/07/2023;Ativo;;
508;424-14-0775;Zoombox;Industria;SC;Kalandagan;13/11/2016;Inativo;;
137;404-25-7390;Eire;Industria;RS;Sukacai Tengah;25/11/2019;Ativo;;
65;351-01-2039;Fadeo;Varejo;MT;Zhangjiawan;13/03/2025;Ativo;;
427;447-92-9777;Yacero;Varejo;RS;Baizhifang;02/09/2010;Inativo;;
818;551-65-2037;Photospace;Varejo;AM;Mochudi;15/09/2010;Inativo;;
156;573-57-5919;Centizu;Varejo;MS;Cruz das Almas;22/11/2022;Ativo;;
873;634-74-3428;Eadel;Varejo;AM;San Bernardo;23/06/2023;Ativo;;
569;479-78-2415;Gigashots;Industria;SC;Chenglin;19/09/2021;Inativo;;
555;224-42-2125;Abatz;Serviços;PR;Lete;18/04/2009;Ativo;;
759;634-03-4995;Browseblab;Industria;RN;Yabēlo;21/07/2025;Ativo;;
57;179-28-1187;Meedoo;Industria;GO;Lenešice;01/09/2024;Ativo;;
335;616-15-2715;Camido;Serviços;MT;Vilémov;14/12/2022;Inativo;;
185;868-90-7063;Nlounge;Industria;TO;Curug;10/06/2025;Ativo;;
757;539-64-2683;Quamba;Industria;TO;Garhi Khairo;22/04/2015;Ativo;;
417;433-78-1209;Oloo;Industria;MG;Kristinehamn;14/03/2023;Ativo;;
851;614-62-1159;Bubbletube;Serviços;MA;Ágios Efstrátios;01/12/2017;Inativo;;
176;607-14-3940;Ooba;Serviços;SP;La Esperanza;07/09/2023;Inativo;;
495;375-86-0916;Oyoba;Industria;SC;Oslo;28/05/2015;Ativo;;
94;490-71-2070;Photojam;Serviços;MG;Shimiaozi;14/10/2019;Ativo;;
595;516-24-6900;Twitternation;Serviços;MA;Gaspra;01/05/2018;Ativo;;
795;542-98-3396;Oyoyo;Industria;GO;San Jose;16/07/2007;Ativo;;
960;754-84-4226;Skipstorm;Varejo;RN;Pasiripis;02/09/2008;Inativo;;
608;806-97-6034;Mybuzz;Serviços;MT;Huangyang;13/09/2023;Inativo;;
749;408-19-1489;Eidel;Industria;MT;Tempeh Tengah;12/11/2007;Ativo;;
411;150-13-0106;Topicblab;Industria;AM;Reitoca;17/10/2018;Ativo;;
996;243-66-9667;Jetwire;Serviços;MA;Jerez;12/04/2009;Ativo;;
417;883-13-3044;Gevee;Serviços;RJ;Jelsa;14/03/2025;Inativo;;
862;512-37-5442;Topdrive;Industria;MS;Kampungraja;12/12/2013;Ativo;;
203;550-18-2512;Nlounge;Varejo;TO;Al Qanāyāt;25/10/2015;Ativo;;
560;342-52-1631;Dablist;Varejo;TO;Khorosheve;08/07/2020;Ativo;;
205;309-81-4514;Feedspan;Industria;PA;Aracaju;24/09/2014;Inativo;;
598;365-21-2863;Innotype;Serviços;MG;Hesi;13/05/2007;Ativo;;
487;511-14-5410;Youfeed;Varejo;RS;Bigaan;14/08/2016;Ativo;;
896;834-51-2532;Gabspot;Varejo;MT;Beijiang;16/08/2014;Ativo;;
464;393-72-9254;Dynabox;Varejo;PA;Bicaj;08/12/2016;Inativo;;
277;160-61-2585;Babbleset;Varejo;RJ;Aga;08/02/2008;Ativo;;
464;674-47-5825;Brainsphere;Serviços;SC;Chełmża;28/12/2020;Inativo;;
218;775-11-7576;Meemm;Industria;PA;Áno Merá;27/11/2008;Inativo;;
467;300-69-1146;Dabfeed;Industria;TO;Hà Tĩnh;06/02/2020;Inativo;;
73;394-85-4691;Kamba;Serviços;RJ;El Hamma;07/04/2022;Inativo;;
352;477-09-1128;Flashdog;Varejo;SE;Nangka;27/11/2020;Inativo;;
542;626-77-7639;Dabvine;Varejo;RR;Mueang Suang;07/08/2007;Inativo;;
1;661-54-5217;Katz;Serviços;RJ;Mtambile;25/03/2010;Ativo;;
829;250-52-3909;Trudoo;Serviços;RS;Trnava;15/04/2015;Ativo;;
726;695-32-5666;Muxo;Varejo;MA;Aix-en-Provence;05/07/2021;Ativo;;
